,dates,names,tickets
0,8-11-2022,The Invisible Guest,"The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*vip*8-11-2022,The Invisible Guest*ord*8-11-2022,The Invisible Guest*vip*8-11-2022"
1,17-11-2022,Shutter Isaland,"Shutter Isaland*ord*17-11-2022,Shutter Isaland*vip*17-11-2022,Shutter Isaland*vip*17-11-2022,Shutter Isaland*vip*17-11-2022,Shutter Isaland*ord*17-11-2022,Shutter Isaland*vip*17-11-2022,Shutter Isaland*vip*17-11-2022,Shutter Isaland*ord*17-11-2022,Shutter Isaland*ord*17-11-2022,Shutter Isaland*vip*17-11-2022,Shutter Isaland*ord*17-11-2022,Shutter Isaland*vip*17-11-2022,Shutter Isaland*vip*17-11-2022,Shutter Isaland*vip*17-11-2022"
2,18-11-2022,In Time,"In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*vip*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022,In Time*ord*18-11-2022"
3,20-11-2022,The Equalizer,"The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*vip*20-11-2022,The Equalizer*ord*20-11-2022,The Equalizer*vip*20-11-2022"
4,29-11-2022,Shutter Isaland,"Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*ord*29-11-2022,Shutter Isaland*vip*29-11-2022,Shutter Isaland*vip*29-11-2022"
5,9-12-2022,Rush Hour 2,"Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*vip*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*ord*9-12-2022,Rush Hour 2*vip*9-12-2022"
6,12-12-2022,In Time,"In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*vip*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*vip*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*ord*12-12-2022,In Time*vip*12-12-2022,In Time*vip*12-12-2022,In Time*vip*12-12-2022"
7,16-12-2022,The Lincolyn Lawyer,"The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*ord*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022,The Lincolyn Lawyer*vip*16-12-2022"
8,12-1-2023,Rush Hour 2,"Rush Hour 2*ord*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*ord*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*vip*12-1-2023,Rush Hour 2*ord*12-1-2023"
